122,My Blood ,Twenty One Pilots,Alternative Rock,5
123,Saturday ,Twenty One Pilots,Alternative Rock,3
124,Heathens ,Twenty One Pilots,Alternative Rock,4
125,Stressed Out ,Twenty One Pilots,Alternative Rock,3
126,Tear In My Heart ,Twenty One Pilots,Alternative Rock,5
127,Jumpsuit,Twenty One Pilots,Alternative Rock,3
128,Sweater Weather ,The Neighbourhood,Indie,5
129,Daddy Issues,The Neighbourhood,Indie,3
130,The Beach ,The Neighbourhood,Indie,3
131,Cry Baby ,The Neighbourhood,Indie,3
132,Stargazing ,The Neighbourhood,Indie,5
133,Prey ,The Neighbourhood,Indie,4
134,Preety boy,The Neighbourhood,Indie,4
135,A little death,The Neighbourhood,Indie,2
136,My Universe ,BTS ,K POP,3
137,Butter ,BTS ,K POP,2
138,4 o clock,BTS ,K POP,5
139,On,BTS ,K POP,4
140,Dynamite ,BTS ,K POP,4
141,MIC drop ,BTS ,K POP,4
142,Blood Sweat & Tear ,BTS ,K POP,5
143,Fake Love ,BTS ,K POP,4
144,Danger,BTS ,K POP,4
145,Lie ,BTS ,K POP,3
146,Fire ,BTS ,K POP,5
147,We don't talk anymore ,Charlie Puth,pop,4
148,One Call Away ,Charlie Puth,pop,5
149,Marvin Gaye ,Charlie Puth,pop,3
150,Dangerously,Charlie Puth,pop,2
151,River ,Charlie Puth,pop,2
152,Suffer ,Charlie Puth,pop,3
153,Attention ,Charlie Puth,pop,4
154,Wolves ,Selena Gomez ,pop,4
155,The Heart wants what it wants ,Selena Gomez ,pop,3
156,It ain't me ,Selena Gomez ,pop,4
157,Who say,Selena Gomez ,pop,5
158,999,Selena Gomez ,pop,2
159,Same old love ,Selena Gomez ,pop,3
160,Back to you ,Selena Gomez ,pop,4
161,Bella Ciao ,Hardwell,EDM ,4
162,Unity,Hardwell,EDM ,5
163,Young Again,Hardwell,EDM ,4
164,Follow me ,Hardwell,EDM ,3
165,Mad man ,Hardwell,EDM ,3
166,We are legends ,Hardwell,EDM ,5
167,Badam,Hardwell,EDM ,3
168,Sally ,Hardwell,EDM ,3
169,More than you know ,Axwell /\ Ingrosso,EDM ,4
170,Sun is shining ,Axwell /\ Ingrosso,EDM ,3
171,Dreamer,Axwell /\ Ingrosso,EDM ,4
172,On my way ,Alan Walker ,EDM ,1
173,Faded,Alan Walker ,EDM ,4
174,I just called to say i love you ,Stevie Wonder ,Soul ,5
175,superstition,Stevie Wonder ,Soul ,3
176,isn't she lovely,Stevie Wonder ,Soul ,2
177,Happy Birthday,Stevie Wonder ,Soul ,4
178,Careless Whisper ,George Michael,Soul ,5
179,jesus to a child ,George Michael,Soul ,3
180,Just the two of us ,Grover Washington jr,Soul ,4
181,Let it flow ,Grover Washington jr,Soul ,3
182,Bellyache,Billie Ellish ,Electro Pop,4
183,Ocean eyes ,Billie Ellish ,Electro Pop,4
184,Therefore i am ,Billie Ellish ,Electro Pop,5
185,idontwannabeyouanymore,Billie Ellish ,Electro Pop,5
186,wish you were gay ,Billie Ellish ,Electro Pop,4
187,Oxytocin,Billie Ellish ,Electro Pop,3
188,Hostage ,Billie Ellish ,Electro Pop,4
189,watch ,Billie Ellish ,Electro Pop,4
190,PILLOWTALK,Zayn ,Dance,3
191,fOol fOr YoU,Zayn ,pop,3
192,Dusk Till Dawn,Zayn ,pop,5
193,Tightrope,Zayn ,pop,5
194,Trampoline,Zayn ,Dubstep,3
